State,District,Village,PIN_Code,Survey_Number,Land_Area,Land_Type,Guidance_Value_Per_Sqft,Total_Guidance_Value,Market_Value_Per_Sqft,Total_Market_Value,Nearby_Avg_Value_Per_Sqft,Total_Nearby_Avg_Value,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Total_Income,Credit_History,Property_Area,Loan_Amount,Loan_Amount_Term,LTV_Ratio,DTI_Ratio,Risk_Score,Loan_Approved
Karnataka,Bengaluru Urban,Kengeri,560060,126/4,13066,Commercial,4623,60404118,16137,210846042,16079,210088214,Male,Yes,1,Graduate,Yes,48924,20272,69196,1.0,Urban,124817879,240,0.5919858765952078,16.229534292511982,43,0
Karnataka,Bengaluru Urban,Yelahanka,560064,175/5,4527,Commercial,5970,27026190,18426,83414502,17395,78747165,Female,Yes,3,Graduate,No,53562,0,53562,1.0,Urban,73033036,240,0.8755436314898817,12.267973213050277,55,0
Karnataka,Bengaluru Urban,Electronic City,560100,396/5,7806,Residential,3219,25127514,9177,71635662,9123,71214138,Female,No,1,Not Graduate,Yes,90564,19139,109703,1.0,Urban,29099238,300,0.40621161566148434,2.226007922677119,36,1
Telangana,Rangareddy,Kokapet,500089,432/1,14464,Commercial,3868,55946752,10908,157773312,10584,153086976,Female,Yes,3,Not Graduate,No,31555,0,31555,1.0,Rural,102605544,360,0.6503352354040713,26.1634420302085,46,1
Tamil Nadu,Coimbatore,Gandhipuram,641012,71/9,10957,Industrial,2368,25946176,6498,71198586,6165,67549905,Male,No,3,Not Graduate,No,93669,34907,128576,0.0,Semiurban,54713919,360,0.768469179991861,3.423971556829019,90,0
Maharashtra,Mumbai Suburban,Borivali,400092,223/3,5212,Industrial,9998,52109576,50751,264514212,49409,257519708,Male,No,1,Graduate,No,27400,30501,57901,1.0,Urban,170540217,120,0.644729883171646,37.31077864632795,45,0
Tamil Nadu,Chennai,Adyar,600020,476/6,41385,Agricultural,1561,64601985,6342,262463670,6264,259235640,Male,Yes,1,Not Graduate,Yes,27500,0,27500,0.0,Rural,150927019,180,0.5750396578696015,55.66553891594553,93,0
Telangana,Rangareddy,Kokapet,500089,205/6,38919,Industrial,3251,126525669,8966,348947754,8291,322677429,Male,Yes,0,Graduate,Yes,27462,0,27462,1.0,Semiurban,221303181,240,0.6342014770497706,72.50463041945534,45,0
Telangana,Rangareddy,Narsingi,500075,371/10,20925,Industrial,3581,74932425,11720,245241000,10978,229714650,Female,No,3,Graduate,Yes,41989,0,41989,1.0,Rural,90990510,180,0.3710248694141681,21.979240698477785,34,1
Tamil Nadu,Chennai,Tambaram,600045,94/5,21371,Industrial,5506,117668726,17423,372346933,18167,388246957,Male,Yes,1,Graduate,No,12000,8000,20000,1.0,Urban,125895342,300,0.3381130092456005,52.82545660248238,33,1
Tamil Nadu,Coimbatore,Saravanampatti,641035,147/7,15144,Industrial,1995,30212280,4499,68132856,4406,66724464,Female,Yes,0,Not Graduate,Yes,25916,0,25916,1.0,Rural,23474416,120,0.34453885215086244,11.474146512329146,33,0
Telangana,Medchal-Malkajgiri,Kompally,500014,483/10,10485,Commercial,3393,35575605,9145,95885325,9178,96231330,Female,Yes,2,Graduate,No,19777,0,19777,1.0,Semiurban,48471487,120,0.5055151765924556,31.04698953607791,40,1
Karnataka,Bengaluru Urban,Sarjapur,560035,110/9,27361,Agricultural,1581,43257741,5740,157052140,5744,157161584,Female,Yes,2,Graduate,Yes,43850,0,43850,0.0,Rural,122904425,180,0.7825708392130155,28.42824431542025,98,0
